Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Acorde: Dulce (product.metafields.custom.acorde_dulce),c_f.product_card_marquee (product.metafields.custom.c_f_product_card_marquee),Género (product.metafields.custom.genero),Notas de salida (product.metafields.custom.notas_de_salida),Tamaño (product.metafields.custom.tamano),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Ocasión (product.metafields.shopify.occasion),Aroma (product.metafields.shopify.scent),Estación (product.metafields.shopify.season),Sexo objetivo (product.metafields.shopify.target-gender),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
minya-paris-corner-perfume-gourmand-unisex-pistacho-vainilla-y-caramelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Minya_Pariscorner-2.png?v=1761783709,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ana-abiyedh-scarlet-perfume-femenino-cereza-negra-y-rosa-gourmand,Ana Abiyedh Scarlet: Perfume Femenino | Cereza Negra y Rosa Gourmand,"<h2><b>Ana Abiyedh Scarlet: La Esencia de la Pasión en un Frasco </b></h2>
<p> </p>
<p>Ana Abiyedh Scarlet es una fragancia que captura la esencia de la <b>pasión desenfrenada</b> y el <b>lujo seductor</b>. A pesar de que su nombre significa ""Yo soy Blanco"", su color rojo vibrante y su aroma profundo te sumergen en un misterio delicioso. Es un perfume para la mujer que domina la noche, que busca un aura de dulzura oscura y sofisticación. Scarlet es la hermana rebelde de las fragancias dulces: una mezcla de la riqueza licorosa de la cereza con la elegancia atemporal de la rosa y un fondo adictivo de caramelo. Prepárate para una estela que llama la atención y se convierte en un cumplido constante.</p>
<p> </p>
<h3><b>Pirámide Olfativa Sensorial</b></h3>
<p> </p>
<p>Una composición Gourmand Floral Frutal que equilibra lo especiado y lo dulce.</p>
<ul>
<li>
<p><b>Notas de Salida (El Estallido Intrigante):</b> La apertura es un cóctel tentador y ligeramente picante. La opulenta <b>Cereza Negra</b> irrumpe con una sensación rica y casi licorosa, evocando un postre sofisticado. Esta dulzura es inmediatamente contrastada por el chispeante y vibrante toque de la <b>Pimienta Rosa</b>, que añade una pizca de especiado moderno.</p>
</li>
<li>
<p><b>Notas de Corazón (El Romance Oscuro):</b> El corazón es profundamente femenino y enigmático. La majestuosa <b>Rosa Blanca</b> y la tierna <b>Peonía</b> florecen, pero no como un ramo fresco, sino como un acorde denso, casi de mermelada, dulce y envolvente. Las notas cálidas de <b>Haba Tonka</b> y el toque terroso de la <b>Nuez Moscada</b> preparan el escenario para la profundidad del secado.</p>
</li>
<li>
<p><b>Notas de Fondo (La Base Adictiva):</b> El cierre es un festín gourmand irresistible. El <b>Caramelo</b> y el <b>Azúcar</b> se funden con la cremosa <b>Vainilla</b> para crear una base cálida y comestible, que se equilibra a la perfección con el toque profundo y ligeramente oscuro del <b>Pachulí</b>. Este fondo es lo que le da a Scarlet su extraordinaria duración y su carácter adictivo.</p>
</li>
</ul>
<p> </p>
<h3><b>Longevidad y Ocasión de Uso</b></h3>
<p> </p>
<ul>
<li>
<p><b>Longevidad y Proyección:</b> Ana Abiyedh Scarlet es una fragancia con un rendimiento excelente. Su <b>longevidad es alta</b> (frecuentemente supera las 8 horas) y su <b>proyección es poderosa</b> en las primeras horas, disminuyendo a una burbuja de aroma elegante y perceptible.</p>
</li>
<li>
<p><b>Ideal para:</b> Es la fragancia perfecta para el <b>otoño e invierno</b> y, sin duda, su lugar está en la <b>noche</b>. Úsala para salidas, cenas elegantes, eventos especiales o cuando quieras sentirte magnética y segura de ti misma.</p>
</li>
</ul>",lattafa,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Fragancia para mujer, lattafa, mujer, perfume mujer, Perfumes de Mujer, Perfumes mujer",true,Tamaño,60 ml,,,,,,,,,0.0,shopify,10,deny,manual,29.50,33.50,true,true,60.0,ml,1,ml,'6290362349938,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/AnaAbiyedhScarletLattafa-1.png?v=1761782656,1,"",false,,"Ana Abiyedh Scarlet: La tentación roja de Lattafa. Fragancia Femenina Gourmand Floral con cereza, rosa intensa, caramelo y vainilla. ¡Seducción profunda!",479,,,,,,,,,,,,,,,,,,,ocasion-especial; formal,,otono; invierno,,,,,,,kg,,15.87,active
ana-abiyedh-scarlet-perfume-femenino-cereza-negra-y-rosa-gourmand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/AnaAbiyedhScarletLattafa-2.png?v=1761782657,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musamam-lattafa-perfume-arabe-unisex-madera-cuero-y-lujo,"Musamam Lattafa: Perfume Árabe Unisex | Madera, Cuero y Lujo","<h2><b>Musamam: El Elegante Poder de la Serpiente Negra </b></h2>
<p> </p>
<p>Musamam de Lattafa es una declaración olfativa, una fragancia diseñada para la persona que irradia <b>confianza</b> y un aura de <b>misterio sofisticado</b>. Inspirada en la opulencia y la tradición de la perfumería árabe, esta creación no es solo un aroma, es una armadura de elegancia. Imagina el tacto de un cuero fino y nuevo, recién acondicionado, envuelto en un humo cálido y dulce. Musamam es audaz, pero refinado; tiene la fuerza de la madera y la seducción de las especias, creando un rastro inolvidable y distintivo. Es el perfume para quienes no temen destacar.</p>
<p> </p>
<h3><b>Pirámide Olfativa Sensorial</b></h3>
<p> </p>
<p>El viaje de Musamam se despliega en tres fases ricas y envolventes:</p>
<ul>
<li>
<p><b>Notas de Salida (La Apertura Vibrante):</b> La primera impresión es un estallido intrigante. Sientes la dulzura fresca y ligeramente cítrica de la <b>Mandarina Italiana</b> combinada con la pureza aromática de la <b>Lavanda</b>. Sin embargo, la nota estrella es el <b>Azafrán</b>, que de inmediato le otorga un toque exótico y lujoso que muchos perciben como un cuero o gamuza sutil, elegante y ligeramente ahumado.</p>
</li>
<li>
<p><b>Notas de Corazón (El Alma Profunda):</b> El corazón es robusto y cálido. El <b>Cedro de Virginia</b> proporciona una columna vertebral amaderada y seca, mientras que el <b>Amberwood (Madera de Ámbar)</b> añade una calidez mineral y resonante. Un toque de <b>Geranio</b> egipcio mantiene un equilibrio floral y verde, evitando que la composición se vuelva demasiado densa.</p>
</li>
<li>
<p><b>Notas de Fondo (El Rastro Inmortal):</b> El secado final es lo que define su longevidad y carácter. El <b>Incienso Somalí</b> crea una bruma ahumada, mística y sensual, acentuada por el <b>Ládano</b> (Cistus Concrete), que profundiza la sensación resinosa y ambarada. El revolucionario <b>Akigalawood</b> cierra la composición, aportando un matiz especiado de madera de oud y pimienta que asegura una estela impactante y duradera.</p>
</li>
</ul>
<p> </p>
<h3><b>Longevidad y Ocasión de Uso</b></h3>
<p> </p>
<ul>
<li>
<p><b>Longevidad y Proyección:</b> Musamam es reconocido por su excelente rendimiento. Ofrece una <b>longevidad superior al promedio</b> (fácilmente 8+ horas) y una <b>proyección notable</b>, especialmente en las primeras horas, asegurando que tu presencia se note sin ser abrumadora.</p>
</li>
<li>
<p><b>Ideal para:</b> Su calidez y profundidad lo hacen perfecto para <b>climas frescos</b> y <b>ocasiones nocturnas</b>. Es la elección idónea para eventos formales, citas importantes o cualquier momento en el que desees proyectar sofisticación y una personalidad fuerte.</p>
</li>
</ul>",lattafa,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"lattafa, Unisex",true,Tamaño,100 ml,,,,,,,,,0.0,shopify,10,deny,manual,39.90,,true,true,100.0,ml,1,ml,"",https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Musamam_Lattafa-1.png?v=1761782242,1,"",false,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,29.00,active
musamam-lattafa-perfume-arabe-unisex-madera-cuero-y-lujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Musamam_Lattafa-2.png?v=1761782243,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teriaq-intense-lattafa-licor-azafran-y-canela-perfume-oriental-unisex,"Teriaq Intense Lattafa: Licor, Azafrán y Canela - Perfume Oriental Unisex","<h2>Profundidad Oscura: Teriaq Intense de Lattafa </h2>
<p> </p>
<p><b>Teriaq Intense</b> es una declaración de sofisticación y misterio, elevando la experiencia del Teriaq original a un reino más denso, oscuro y embriagador. Creada por el genio <b>Quentin Bisch</b>, esta fragancia es un elixir oriental especiado que captura la esencia de una noche opulenta y seductora. Es el aroma para quienes poseen una presencia magnética y una elegancia audaz. Si buscas una fragancia que transmita <b>lujo, calidez profunda y una estela inolvidable</b> sin ser abrumadora, Teriaq Intense es la elección perfecta.</p>
<p> </p>
<h3> Notas Olfativas: Elixir Especiado y Licoroso</h3>
<p> </p>
<p>La pirámide olfativa de Teriaq Intense es exquisita y centrada en una calidez especiada y resinosa:</p>
<ul>
<li>
<p><b>Notas de Salida (La Primera Impresión):</b> La apertura es vibrante y exótica. La chispa cítrica y efervescente de la <b>Bergamota</b> se fusiona con el toque inconfundiblemente cálido, metálico y especiado del <b>Azafrán</b>, creando una intriga instantánea y sofisticada.</p>
</li>
<li>
<p><b>Notas de Corazón (El Alma de la Fragancia):</b> El corazón es el alma sensual del perfume. Un <b>Licor de Ciruela (Plum Liquor)</b>, jugoso y oscuro, envuelve los sentidos con su dulzor profundo y su faceta ligeramente alcohólica. La <b>Canela</b> se une de forma sutil, añadiendo una calidez especiada y confortable que lo diferencia de otras fragancias árabes, manteniendo la elegancia.</p>
</li>
<li>
<p><b>Notas de Fondo (El Rastro Duradero):</b> El secado es un abrazo duradero y balsámico. El <b>Ámbar</b> otorga una calidez dorada y resinosa. El <b>Haba Tonka</b> añade un dulzor cremoso y avainillado, mientras que el <b>Benjuí</b> sella el aroma con una nota resinosa, dulce y ligeramente ahumada, asegurando una <b>proyección potente</b> que deja una estela de misterio y distinción.</p>
</li>
</ul>
<p> </p>
<h3>Longevidad y Ocasión de Uso</h3>
<p> </p>
<ul>
<li>
<p><b>Longevidad y Proyección:</b> Teriaq Intense es conocido por su <b>excelente longevidad</b> (a menudo de 8 a 10 horas o más) y una <b>proyección fuerte a moderada</b> que te acompañará con intensidad las primeras horas, para luego asentarse en un aura cálida y seductora.</p>
</li>
<li>
<p><b>Ocasión de Uso:</b> Absolutamente ideal para <b>climas fríos</b> (otoño e invierno). Su perfil cálido, especiado y oscuro lo convierte en la fragancia perfecta para <b>citas, eventos nocturnos, cenas elegantes o cualquier ocasión especial</b> donde quieras impresionar y ser recordado. Es la elección de la noche y el misterio.</p>
</li>
</ul>
<p><b>Atrévete a llevar la intensidad y el lujo. Adquiere Teriaq Intense de Lattafa hoy y convierte cada noche en una obra de arte olfativa.</b></p>
<p> </p>
<h3>Notas Técnicas Adicionales</h3>
<p> </p>
<ul>
<li>
<p><b>Clasificación:</b> <b>UNISEX</b>. Su composición oriental especiada y licorosa está diseñada para trascender el género, siendo apreciada tanto por hombres como por mujeres que buscan un aroma potente, dulce y sofisticado.</p>
</li>
<li>
<p><b>Perfume:</b> Teriaq Intense</p>
</li>
<li>
<p><b>Marca:</b> Lattafa</p>
</li>
<li>
<p><b>Año de Lanzamiento:</b> 2024</p>
</li>
<li>
<p><b>Perfumista:</b> Quentin Bisch</p>
</li>
</ul>",lattafa,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"lattafa, Unisex",true,Tamaño,100 ml,,,,,,,,,0.0,shopify,10,deny,manual,32.85,37.90,true,true,100.0,ml,1,ml,'6290360595771,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/TeriaqIntense_Lattafa-1.png?v=1761781570,1,"",false,,"Descubre Teriaq Intense, la versión más oscura y seductora de Lattafa. Ciruela licorosa, azafrán y ámbar. Ideal para noches de invierno. ¡Lujo y sensualidad!",479,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,24.20,active
teriaq-intense-lattafa-licor-azafran-y-canela-perfume-oriental-unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/TeriaqIntense_Lattafa-2.png?v=1761781570,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teriaq-lattafa-lujo-gourmand-con-firma-de-autor,Teriaq Lattafa: Lujo Gourmand con Firma de Autor,"<h2>El Elixir del Deseo: Teriaq de Lattafa </h2>
<p> </p>
<p>Sumérgete en una experiencia olfativa adictiva y misteriosa con <b>Teriaq</b> de Lattafa, la nueva joya de la perfumería árabe firmada por el aclamado maestro perfumista <b>Quentin Bisch</b>. Este no es solo un perfume; es una armadura de seducción que envuelve a quien lo lleva en un aura de calidez gourmand y sofisticación oscura. Teriaq evoca la imagen de una noche elegante y profunda, donde el lujo y el misterio se fusionan. Es una fragancia para personalidades magnéticas que desean dejar una <b>huella inolvidable</b> con un aroma potente, dulce y elegante.</p>
<p> </p>
<h3> Notas Olfativas: Un Viaje Sensorial</h3>
<p> </p>
<p>La composición de Teriaq es una obra de arte que se despliega en capas ricas y embriagadoras:</p>
<ul>
<li>
<p><b>Notas de Salida (La Primera Impresión):</b> La fragancia se abre con un impacto delicioso de <b>Caramelo</b> fundido, almendra amarga y el toque frutal, jugoso y ligeramente ácido del <b>Chabacano</b> (albaricoque). La <b>Pimienta Rosa</b> añade un destello especiado y vibrante que equilibra el dulzor inicial, invitando a explorar más.</p>
</li>
<li>
<p><b>Notas de Corazón (El Alma de la Fragancia):</b> El corazón es profundamente cálido y floral. Una untuosa <b>Miel</b> se combina con la frescura verde y ligeramente agria del <b>Ruibarbo</b>, proporcionando un contraste fascinante. Un bouquet de <b>Flores Blancas</b> y la delicadeza aterciopelada de la <b>Rosa</b> añaden una elegancia suave y envolvente.</p>
</li>
<li>
<p><b>Notas de Fondo (El Rastro Duradero):</b> El secado es donde Teriaq revela su carácter más sensual y profundo. Un <b>Cuero</b> sofisticado y cremoso se mezcla con la dulzura reconfortante de la <b>Vainilla</b>, la faceta resinosa del <b>Ládano</b> y el acorde terroso del <b>Vetiver</b>. Esta base oscura y almizclada asegura una estela memorable que perdura.</p>
</li>
</ul>
<p> </p>
<h3>Longevidad y Ocasión de Uso</h3>
<p> </p>
<ul>
<li>
<p><b>Longevidad y Proyección:</b> Teriaq destaca por una <b>longevidad excepcional</b> y una <b>proyección amplia</b> que te hará notar sin ser abrumador. Es una fragancia que te acompaña durante horas, evolucionando ricamente en la piel.</p>
</li>
<li>
<p><b>Ocasión de Uso:</b> Ideal para <b>climas fríos</b> (otoño e invierno) y para <b>ocasiones nocturnas y especiales</b>. Su calidez, dulzura y toque de cuero lo hacen perfecto para una cita, un evento elegante o cualquier momento en el que busques destacar con magnetismo y distinción.</p>
</li>
</ul>
<p> </p>
<h3>Notas Técnicas Adicionales</h3>
<p> </p>
<ul>
<li>
<p><b>Clasificación:</b> <b>UNISEX</b>. Aunque su perfil gourmand, dulce y floral-cálido suele ser apreciado por mujeres, el fondo de cuero, vetiver y ládano le da una profundidad oscura y elegante que lo hace perfectamente apto y deseado por hombres.</p>
</li>
<li>
<p><b>Perfume:</b> Teriaq</p>
</li>
<li>
<p><b>Marca:</b> Lattafa</p>
</li>
<li>
<p><b>Año de Lanzamiento:</b> 2024</p>
</li>
<li>
<p><b>Perfumista:</b> Quentin Bisch</p>
</li>
</ul>",lattafa,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"lattafa, Unisex",true,Tamaño,100 ml,,,,,,,,,0.0,shopify,10,deny,manual,29.00,37.90,true,true,100.0,ml,1,ml,'6290360595764,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Teriaq_Lattafa-1.png?v=1761780672,1,"",false,,"Teriaq de Lattafa: El aroma gourmand-oriental de Quentin Bisch. Una fragancia de caramelo, cuero y miel con duración extrema. ¡Déjate seducir!",479,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,24.20,active
teriaq-lattafa-lujo-gourmand-con-firma-de-autor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/Teriaq_Lattafa_-2.png?v=1761780673,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire-on-ice-lattafa-perfume-unisex-conac-canela-caramelo-y-rosa,"Fire on Ice Lattafa | Perfume Unisex Coñac, Canela, Caramelo y Rosa","<h3>Fuego sobre Hielo: El Arte del Contraste</h3>
<p> </p>
<p><b>Fire on Ice</b> (Fuego sobre Hielo) es una fragancia intrigante de <b>Lattafa</b> que equilibra magistralmente elementos opuestos: una <b>calidez ardiente</b> y especiada con una <b>frescura helada</b> y sofisticada. Este <b>Eau de Parfum unisex</b> es la elección ideal para quienes desean una fragancia audaz, sensual y compleja, perfecta para destacar sin esfuerzo en cualquier ocasión especial, especialmente de noche.</p>
<p> </p>
<h4>Notas Olfativas: Un Cóctel de Lujo y Dulzura</h4>
<p> </p>
<ul>
<li>
<p><b>Notas de Salida (El Chispazo Licoroso):</b> La apertura es un golpe de efecto, lujoso e intenso, que recuerda a un cóctel gourmet. El <b>Coñac</b> (licor) proporciona una calidez embriagadora y ligeramente almibarada. La <b>Canela</b> añade su firma especiada y vibrante, mientras que la <b>Frambuesa Negra</b> (o Mora/Grosella Negra) introduce una dulzura afrutada oscura y ligeramente ácida que crea un contraste fascinante.</p>
</li>
<li>
<p><b>Notas de Corazón (La Elegancia Caramelizada):</b> El corazón se suaviza en una atmósfera más refinada y floral dulce. Los <b>Pétalos de Rosa</b> (a veces descritos como ""helados"") aportan un toque floral fresco y delicado, creando la sensación de ""hielo"". Esta flor se une a la rica dulzura del <b>Caramelo</b>, que envuelve el núcleo con una textura <i>gourmand</i> adictiva, mientras que el <b>Musgo</b> aporta una base verde y terrosa sutil.</p>
</li>
<li>
<p><b>Notas de Fondo (El Ancla Amaderada y Resinosa):</b> La base es cálida, envolvente y duradera. El <b>Roble</b> y el <b>Cedro</b> proporcionan una estructura amaderada robusta. La <b>Mirra</b> agrega una calidez resinosa y balsámica, con un toque oriental. Finalmente, el <b>Ambroxan</b> potencia la fijación, dejando una estela sensual y magnética que perdura en la piel.</p>
</li>
</ul>
<p> </p>
<h4>Longevidad y Ocasión de Uso</h4>
<p> </p>
<ul>
<li>
<p><b>Tipo de Concentración:</b> Eau de Parfum.</p>
</li>
<li>
<p><b>Longevidad:</b> <b>Larga duración</b> (Aunque las opiniones varían, la mayoría reporta un desempeño sólido gracias a las notas de base).</p>
</li>
<li>
<p><b>Ocasión de Uso:</b> Ideal para <b>climas fríos (Otoño/Invierno)</b> y <b>eventos nocturnos</b>. Su perfil licoroso, dulce y amaderado lo hace perfecto para reuniones sociales, cenas románticas o salidas, donde su proyección intensa dejará una impresión memorable.</p>
</li>
</ul>",lattafa,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"lattafa, Unisex",true,Tamaño,110 ml,,,,,,,,,0.0,shopify,8,deny,manual,39.00,52.00,true,true,110.0,ml,1,ml,'6290360598901,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/FireonIce_Lattafa-1.png?v=1761779714,1,"",false,,"Fire on Ice de Lattafa: Fragancia unisex oriental con coñac, frambuesa y un corazón dulce de caramelo y rosa. Calidez ardiente y frescura sofisticada.",479,,,,,,,,,,,,,,,,,,,ocasion-especial; formal,,otono; invierno,,,,,,,kg,,29.00,active
fire-on-ice-lattafa-perfume-unisex-conac-canela-caramelo-y-rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/FireonIce_Lattafa-2.png?v=1761779715,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maahir-black-edition-lattafa-perfume-ahumado-cuero-y-especias-unisex,"Maahir Black Edition Lattafa | Perfume Ahumado, Cuero y Especias Unisex","<h3>El Caballo Oscuro: Maahir Black Edition</h3>
<p> </p>
<p><b>Maahir Black Edition</b> es la encarnación del misterio, la fuerza y la sofisticación sin concesiones. Este no es un perfume para pasar desapercibido; es una declaración olfativa de <b>profundidad amaderada y ahumada</b>. Diseñado para el individuo que posee una actitud audaz y un estilo no convencional, evoca la imagen de un poderoso caballo negro cabalgando a través de un bosque nocturno cubierto de incienso y maderas quemadas. Si buscas una fragancia retadora, áspera y absolutamente adictiva, esta es tu armadura invisible.</p>
<p> </p>
<h4>Notas Olfativas: Un Viaje Ahumado, Especiado y Coriáceo</h4>
<p> </p>
<ul>
<li>
<p><b>Notas de Salida (La Apertura Explosiva):</b> El comienzo es una andanada especiada y punzante que capta la atención. La <b>Pimienta Negra</b> y la <b>Pimienta Rosa</b> chocan con un toque cítrico y picante, mientras que el <b>Azafrán</b> añade un velo de cuero lujoso, cálido y ligeramente metálico. Esta salida es intensa, anunciando un aroma de carácter.</p>
</li>
<li>
<p><b>Notas de Corazón (El Alma Resinosa y Oscura):</b> El corazón se adentra en un territorio más oscuro, resinado y herbal. El <b>Ládano</b> aporta una calidez ambarada y dulce, casi balsámica. El <b>Petróleo de Cade</b> (Aceite de Enebro) es la nota clave, responsable de ese <b>efecto ahumado, terroso y casi a ceniza/incienso quemado</b>, que se suaviza con el dulzor herbal del <b>Ruibarbo</b> y el <b>Bálsamo de Gurjum</b>, creando una textura densa y cremosa.</p>
</li>
<li>
<p><b>Notas de Fondo (El Anclaje de Cuero y Maderas):</b> El secado final es un ancla de masculinidad elegante y persistente. Un potente acorde de <b>Cuero</b> se une a la solidez del <b>Cedro</b> y la riqueza ahumada de la <b>Madera de Gaiac</b>. El <b>Pachulí</b> aporta un matiz terroso y húmedo, envuelto por el <b>Musgo</b> y el <b>Almizcle</b> que le dan una longevidad excepcional y un rastro misterioso.</p>
</li>
</ul>
<p> </p>
<h4>Longevidad y Ocasión de Uso</h4>
<p> </p>
<ul>
<li>
<p><b>Tipo de Concentración:</b> Eau de Parfum (Con proyección y duración dignas de un Extrait).</p>
</li>
<li>
<p><b>Longevidad:</b> <b>Extremadamente Alta</b> (Tiende a durar <b>8 a 12+ horas</b> en piel y días en la ropa).</p>
</li>
<li>
<p><b>Ocasión de Uso:</b> Es una fragancia para <b>Noche y Climas Fríos (Otoño/Invierno)</b>. Su intensidad ahumada y poderosa la hace ideal para cenas elegantes, eventos nocturnos, clubs o cualquier situación donde desees que tu perfume hable por ti con autoridad. <b>No recomendada para compra a ciegas</b> debido a su perfil ahumado retador.</p>
</li>
</ul>",lattafa,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"lattafa, Unisex",true,Tamaño,100 ml,,,,,,,,,0.0,shopify,4,deny,manual,32.00,42.00,true,true,100.0,ml,1,ml,'6291108730362,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/MaahirBlackEditionlattafa-1.png?v=1761779054,1,"",false,,"Maahir Black Edition: Fragancia unisex intensa de Lattafa. Notas de cuero, incienso y especias. Oscura, misteriosa y de larga duración. ¡Atrévete a destacar!",479,,,,,,,,,,,,,,,,,,,ocasion-especial,,otono; invierno,,,,,,,kg,,17.80,active
maahir-black-edition-lattafa-perfume-ahumado-cuero-y-especias-unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0943/7819/7376/files/MaahirBlackEditionlattafa-2.png?v=1761779054,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
